medal_id,explanation
ace_trainer,Team Leader Battles won
alola,Alola Pokédex entries registered
backpacker,PokéStops visited
battle_girl,Gym Battles won
battle_legend,Legendary Raid Battles won (Ultra Beast counts)
berry_master,Berries fed at Gyms
best_buddy,Have Buddy Pokémon at Best Buddy level
breeder,Pokémon Eggs hatched
bug,Bug-type caught
cameraman,GO Snapshot photobombs
champion,Non-legendary Raid Battles won
collector,Pokémon caught
community_member,Check-in with Community Ambassadors during events hosted on Campfire
dark,Dark-type caught
dragon,Dragon-type caught
electric,Electric-type caught
expert_navigator,Complete Routes
fairy,Fairy-type caught
fighting,Fighting-type caught
fire,Fire-type caught
fisher,Big (13.13 kg or heavier) Magikarp caught
flying,Flying-type caught
friend_finder,Refer 50 Trainers
galar,Galar Pokédex entries registered
gentleman,Pokémon trades
ghost,Ghost-type caught
grass,Grass-type caught
great_league_veteran,Win Trainer Battles in the Great League
ground,Ground-type caught
gym_leader,Hours of defending Gyms
hero,Defeat Team GO Rocket members
hisui,Hisui Pokédex entries registered
hoenn,Hoenn Pokédex entries registered
ice,Ice-type caught
idol,Become Best Friends with Trainers
jogger,Kilometers walked
johto,Johto Pokédex entries registered
jumbo_pokemon_collector,Catch XXL (height) Pokémon
kalos,Kalos Pokédex entries registered
kanto,Kanto Pokédex entries registered
life_of_a_party,Complete Party Challenges
master_league_veteran,Win Trainer Battles in the Master League
mega_evolution_guru,Mega Evolve unique Pokémon
normal,Normal-type caught
paldea,Paldea Pokédex entries registered
picnicker,Pokémon caught by other Trainers at your PokéStop Lures
pikachu_fan,Pikachu caught
pilot,Earned km across the distance of all Pokémon trades
platinum_medals,Platinum Medals
poison,Poison-type caught
pokemon_ranger,Field Research tasks completed
psychic,Psychic-type caught
purifier,Shadow Pokémon purified
raid_expert,Earn Raid Battle Trainer Achievements
rising_star,Unique Raid bosses defeated
rising_star_duo,Raids won with a friend
rock,Rock-type caught
scientist,Pokémon evolved
showcase_star,Win contests at PokéStop Showcase
sightseer,Unique PokéStops visited
sinnoh,Sinnoh Pokédex entries registered
steel,Steel-type caught
successor,Mega Evolve Pokémon
tiny_pokemon_collector,Catch XXS (height) Pokémon
total_xp,Total XP
triathlete,Complete 7-day streaks
ultra_hero,Defeat the Team GO Rocket Boss
ultra_league_veteran,Win Trainer Battles in the Ultra League
unova,Unova Pokédex entries registered
unown,Unique Unown caught
water,Water-type caught
wayfarer,Earn Wayfarer agreements
youngster,Tiny (2.41 kg or lighter) Rattata caught
